s,x,y,kappa
1.14,0.632517273786727,1.4050026521896393,0.191007072033458
1.15,0.6387493368859052,1.412823226956241,0.1734495366303527
1.16,0.6449813740707467,1.4206438223637254,0.14798802252927334
1.17,0.6512134111220039,1.42846441787761,0.11918593099947264
1.18,0.6574454481725748,1.4362850133920413,0.09085202568239996
1.19,0.6636774852231394,1.4441056089064774,0.06565147598865145
1.2,0.669909522273705,1.4519262044209131,0.045015616198214536
1.21,0.676141559324271,1.4597467999353484,0.029304159719639976
1.22,0.6823735963748366,1.4675673954497837,0.018116555093760485
1.23,0.688605633425402,1.4753879909642191,0.010638149608701295
1.24,0.6948376704759672,1.4832085864786548,0.0059334757492152295
1.25,0.7010697075265333,1.49102918199309,0.00314294423287023
1.26,0.7073017445770989,1.4988497775075256,0.0015801442046757483
1.27,0.7135337816276648,1.5066703730219608,0.000758016152243338
1.28,0.7197658186782305,1.5144909685363965,0.0003760594748607708
1.29,0.7259978557287963,1.5223115640508318,0.00027890995314308755
1.3,0.7322298927793621,1.530132159565267,0.0004245732628952169
1.31,0.7384619298299281,1.5379527550797025,0.0008993944886926433
1.32,0.744693966880494,1.5457733505941378,0.0019513349590732647
1.33,0.7509260039310598,1.5535939461085735,0.004044861585907456
1.34,0.7571580409816253,1.561414541623009,0.007953544191295535
1.35,0.763390078032191,1.5692351371374442,0.014846506084225428
1.36,0.7696221150827559,1.5770557326518804,0.02632049951119862
1.37,0.7758541521333231,1.5848763281663145,0.04432287703313392
1.38,0.782086189183889,1.5926969236807502,0.07089564445722589
1.39,0.7883182262344542,1.6005175191951861,0.1076986654833183
1.4,0.7945502632850198,1.6083381147096214,0.15533585084902585
1.41,0.800782300335585,1.616158710224057,0.21260139319482993
1.42,0.8070143373861397,1.623979305738501,0.275853703196005
1.43,0.8132463744346633,1.6317999012545459,0.3387663826374221
1.44,0.8194784110890861,1.6396204970811867,0.3926580459101472
1.45,0.8257103712898464,1.6474411531619455,0.42745777170921667
1.46,0.8318879749069584,1.6553046275768732,0.4331594688316534
1.47,0.8379203606873414,1.6632801058794913,0.40143386577052353
1.48,0.8438392763584731,1.671340211345527,0.3269831294800933
1.49,0.8496762146885285,1.6794599170369124,0.2082845961204576
1.5,0.8554605208721462,1.6876172221659453,0.04755760242804935
1.51,0.8612197035523377,1.6957922938787358,-0.14997435095287087
1.52,0.8669797393006571,1.7039667642793483,-0.37725911419416586
1.53,0.8727653427981611,1.7121231498828702,-0.626678586754182
1.54,0.878600192148653,1.720244362590513,-0.891089248050513
1.55,0.8845071024390327,1.7283132894784603,-1.1644585306699338
1.56,0.8905081415992349,1.7363124260588014,-1.442065259866906
1.57,0.8966246821143842,1.7442235544383342,-1.7203497530400085
1.58,0.9028773810571478,1.7520274644091018,-1.9965563831752904
1.59,0.9092860799693828,1.7597037222938916,-2.2683115303372308
1.6,0.9158696161338048,1.7672304995172092,-2.5332445100117753
1.61,0.9226455386642738,1.7745844802416502,-2.7887130867321983
1.62,0.9296297276683189,1.7817408743511856,-3.031657919691848
1.63,0.9368359234941191,1.7886735672178167,-3.2585784541969622
1.64,0.9442751864721107,1.7953554389614181,-3.465605382223171
1.65,0.9519553251414068,1.8017588803823363,-3.648669486657401
1.66,0.9598803503319883,1.807856517681713,-3.8037417309362436
1.67,0.9680500291017604,1.8136221323607795,-3.9270857689663097
1.68,0.9764596209542465,1.8190317275022123,-4.015511111478697
1.69,0.9850998707969595,1.8240646531614544,-4.066611403577626
1.7,0.9939573049373361,1.8287046739234762,-4.078950763126278
1.71,1.0030148339343152,1.8329408485363587,-4.052177497916055
1.72,1.0122526125188525,1.8367681088760721,-3.987052239212318
1.73,1.021649062821699,1.8401874680854013,-3.8853872331859485
1.74,1.0311819425944677,1.8432058456852738,-3.7499037963323456
1.75,1.0408293416685974,1.845835559801734,-3.5840240000259813
1.76,1.0505705161870782,1.8480935776905865,-3.3916217773162542
1.77,1.0603865086383184,1.8500006367569761,-3.1767700516074013
1.78,1.0702605420509284,1.851580343599401,-2.943490648537609
1.79,1.08017820786301,1.852858336502898,-2.6955313054179255
1.8,1.0901274857296466,1.8538615684816997,-2.436233059530819
1.81,1.1000986404251063,1.8546177401770607,-2.16849317166335
1.82,1.1100840385197819,1.8551548896737369,-1.8948299220495128
1.83,1.1200779201246867,1.8555011317961279,-1.6175768641009882
1.84,1.1300761517053404,1.8556845318321487,-1.3391999850341005
1.85,1.1400759768294886,1.8557330963870886,-1.0627018722605586
1.86,1.1500757737587264,1.8556748654370931,-0.7920346095023048
1.87,1.1600748222510282,1.8555380931295522,-0.5323985487811703
1.88,1.1700730765546936,1.8553515093829072,-0.290278722521815
1.89,1.180070936827318,1.855144659169451,-0.07308970337662134
1.9,1.1900690064462536,1.854948321068565,0.11162010358734538
1.91,1.2000678171227877,1.8547950108670368,0.25731953989289075
1.92,1.210067496521787,1.854719579066059,0.3597665164827101
1.93,1.2200673431777675,1.8547599123276606,0.4180631162376228
1.94,1.2300652586116714,1.8549577721937658,0.4351585847904768
1.95,1.2400585023313904,1.8553241329088321,0.41759364886915373
1.96,1.2500510080905072,1.8557112113520005,0.37450067586429825
1.97,1.2600435155191858,1.8560982453212127,0.3161090653478197
1.98,1.2700360229564707,1.8564852790611701,0.2521521406896397
1.99,1.2800285303938002,1.8568723127999456,0.19056151950787736
2.0,1.2900210378311296,1.8572593465387164,0.13673493145894888
2.01,1.3000135452684596,1.8576463802774859,0.09347324776188991
2.02,1.3100060527057895,1.8580334140162553,0.061447275260808204
2.03,1.3199985601431194,1.8584204477550252,0.039961131785266925
2.04,1.3299910675804494,1.8588074814937945,0.027776389059459814
2.05,1.3399835750177793,1.859194515232565,0.023797456357991756
2.06,1.3499760824551092,1.8595815489713348,0.027501435293944443
2.07,1.3599685898924392,1.8599685827101045,0.039064667998820995
2.08,1.3699610973297691,1.8603556164488746,0.059184114151353655
2.09,1.379953604767099,1.8607426501876436,0.08862538909244923
2.1,1.3899461122044292,1.861129683926414,0.1275699475352083
2.11,1.3999386196417591,1.8615167176651835,0.174891139581544
2.12,1.409931127079088,1.8619037514039791,0.22754775681740702
2.13,1.4199236345162238,1.8622907851476191,0.28029145422504587
2.14,1.429916141915902,1.8626778198311558,0.32587490037137745
2.15,1.4399086420489777,1.863065036849931,0.3558367551061329
2.16,1.4498990368462588,1.8635010650571795,0.3617121460312167
2.17,1.4598815831438139,1.8640903525120904,0.3363957498769495
2.18,1.4698562719780564,1.8648008010696884,0.27532599054000506
2.19,1.479824370086155,1.8655986852296134,0.17717296371112168
2.2,1.4897878207056985,1.8664528028446081,0.04387101265401259
2.21,1.4997489157057455,1.8673340361808273,-0.11996152230851423
2.22,1.5097100382700293,1.86821495737916,-0.30800306984633513
2.23,1.5196734541474648,1.8690694886008696,-0.5133180714981898
2.24,1.5296411352413708,1.8698726170905673,-0.7292882996803456
2.25,1.539614603771757,1.870600164562777,-0.9502216205892612
2.26,1.5495947888998827,1.8712286106846732,-1.171599101557892
2.27,1.5595818908206769,1.8717349713511533,-1.3900226142011358
2.28,1.5695752501518463,1.872096733512499,-1.6029768897626464
2.29,1.5795732231700206,1.8722918491852467,-1.8085229987272111
2.3,1.5895730661781677,1.8722987916410598,-2.0050117710274473
2.31,1.5995708350449434,1.8720966763104059,-2.190866848055029
2.32,1.6095613086132863,1.871665447346954,-2.3644547601121877
2.33,1.6195379469521913,1.8709861278180515,-2.5240340492934354
2.34,1.6294928968810198,1.870041127003952,-2.667759046600278
2.35,1.6394170572686235,1.8688145924529318,-2.793737611317185
2.36,1.649300214725952,1.8672927877817276,-2.900129507243204
2.37,1.6591312560634872,1.8654644707052062,-2.985242054930178
2.38,1.6688984572623484,1.8633212408201145,-3.0476227907352462
2.39,1.6785898402990753,1.8608578245075327,-3.086151209709248
2.4,1.6881935800606487,1.858072266551197,-3.1001115215009865
2.41,1.6976984356864393,1.8549660051708368,-3.0892398871852462
2.42,1.707094175735475,1.8515438182152997,-3.0537419778529857
2.43,1.7163719658030585,1.8478136417855844,-2.994279280327158
2.44,1.7255246910715492,1.8437862762708521,-2.9119253794153392
2.45,1.7345471943926511,1.8394750063561316,-2.8080960783089397
2.46,1.7434364206862096,1.834895168232982,-2.6844593466922295
2.47,1.7521914690036426,1.8300636991655546,-2.542842126125255
2.48,1.760813562537396,1.8249987017582383,-2.3851354696592733
2.49,1.769305953173868,1.8197190491988757,-2.2131952667181607
2.5,1.777673780153327,1.814244049883584,-2.0287772851527026
2.51,1.7859239024899638,1.8085931819725483,-1.8335268696985267
2.52,1.794064722807674,1.8027859016983274,-1.6290223084211204
2.53,1.8021060169792111,1.7968415242454312,-1.416893676838258
2.54,1.8100587802294215,1.7907791729197784,-1.1990294274825553
2.55,1.8179350967560428,1.7846177909649,-0.9778561922989215
2.56,1.8257480367632615,1.778376210426372,-0.7566467999172164
2.57,1.8335115822036558,1.7720732735457427,-0.5397726686205246
2.58,1.841240580425589,1.76572800394693,-0.332785274600762
2.59,1.8489507231498075,1.7593598270978539,-0.14221028999820065
2.6,1.8566585464897083,1.7529888419888828,0.025015663729476154
2.61,1.864381445747056,1.7466361484999262,0.16244365346809034
2.62,1.8721376960330585,1.7403242373343761,0.26519921055846724
2.63,1.879946465833076,1.7340774513530595,0.33099843529673234
2.64,1.8878278035563942,1.7279225264456686,0.3607995747635232
2.65,1.8958023558005777,1.7218889332661662,0.3588624675923131
2.66,1.9038169484447818,1.71590843980956,0.3321461757511582
2.67,1.9118315704686286,1.7099279854956602,0.2891738243419967
2.68,1.9198461926439208,1.7039475313835304,0.23865292543375843
2.69,1.9278608148199943,1.6979670772724427,0.18819627152080118
2.7,1.935875436996071,1.6919866231613594,0.14343013623206685
2.71,1.9438900591721473,1.6860061690502754,0.10762108158167875
